id;bairro;cep
1326;JARDIM PAULISTANO;02981040
1327;JARDIM PAULISTANO;02982090
1328;JARDIM PAULISTANO;02982110
1329;JARDIM PAULISTANO;02982190
1330;JARDIM PAULISTANO;02981060
1331;JARDIM PAULISTANO;02981021
1332;JARDIM PAULISTANO;02982045
1333;JARDIM PAULISTANO;02982195
1334;JARDIM PAULISTANO;02982015
1335;JARDIM PAULISTANO;02982010
1336;JARDIM PAULISTANO;02982016
1337;JARDIM PAULISTANO;02981070
1338;JARDIM PAULISTANO;02982130
1339;JARDIM PAULISTANO;02982050
1340;JARDIM PAULISTANO;02981030
1341;JARDIM PAULISTANO;02981087
1342;JARDIM PAULISTANO;02981000
1343;JARDIM PAULISTANO;02982040
1344;JARDIM PAULISTANO;02982041
1345;JARDIM PAULISTANO;02981080
1346;JARDIM PAULISTANO;02981085
1347;JARDIM PAULISTANO;02982060
1348;JARDIM PAULISTANO;02982061
1349;JARDIM PAULISTANO;02981020
1350;JARDIM PAULISTANO;02982120
1351;JARDIM PAULISTANO;02982170
1352;JARDIM PAULISTANO;02981110
1353;JARDIM PAULISTANO;02982030
1354;JARDIM PAULISTANO;02982020
1355;JARDIM PAULISTANO;02982180
1356;JARDIM PAULISTANO;02982200
1357;JARDIM PAULISTANO;02982000
1358;JARDIM PAULISTANO;02982100
1359;JARDIM PAULISTANO;02982210
1360;JARDIM PAULISTANO;02982145
1361;JARDIM PAULISTANO;02982160
1362;JARDIM PAULISTANO;02982220
1363;JARDIM PAULISTANO;02982150
1364;JARDIM PAULISTANO;02982140
1365;JARDIM PAULISTANO;02983050
1366;JARDIM PAULISTANO;02983000
1368;JARDIM PAULISTANO;02983010
1369;JARDIM PAULISTANO;02983170
1370;JARDIM PAULISTANO;02983030
1371;JARDIM PAULISTANO;02982015
1372;JARDIM PAULISTANO;02983020
1373;JARDIM PAULISTANO;02983030
1374;JARDIM PAULISTANO;02813090
1375;JARDIM SYDNEY;02983060
1376;JARDIM SYDNEY;02983070
1377;JARDIM SYDNEY;02983050
1378;JARDIM SYDNEY;02982020
1379;JARDIM SYDNEY;02982000
1380;JARDIM SYDNEY;02982010
1381;JARDIM SYDNEY;02982030
1382;JARDIM SYDNEY;02982040
1383;JARDIM SYDNEY;02982060
1384;JARDIM SYDNEY;02982045
1385;JARDIM SYDNEY;02982050
1386;JARDIM SYDNEY;02982100
1387;JARDIM SYDNEY;02982190
1388;JARDIM SYDNEY;02982110
1389;JARDIM SYDNEY;02982210
1390;JARDIM SYDNEY;02983170
1391;JARDIM SYDNEY;02982195
1392;JARDIM SYDNEY;02982090
1393;JARDIM SYDNEY;02982080
1394;JARDIM SYDNEY;02982200
1395;JARDIM SYDNEY;02982205
1396;JARDIM SYDNEY;02982070
1397;JARDIM SYDNEY;02982045
1398;JARDIM SYDNEY;02812200
1399;JARDIM SYDNEY;02982080
1400;JARDIM SYDNEY;02983000
1401;JARDIM SYDNEY;02983020
1402;JARDIM SYDNEY;02983030
1403;JARDIM MAGGI;02982130
1404;JARDIM MAGGI;02982140
1405;JARDIM MAGGI;02982150
1406;JARDIM MAGGI;02982160
1407;JARDIM MAGGI;02982170
1408;JARDIM MAGGI;02981010
1409;JARDIM MAGGI;02982145
1410;JARDIM MAGGI;02982190
1411;JARDIM NOSSA SENHORA APARECIDA;02981040
1412;JARDIM NOSSA SENHORA APARECIDA;02981030
1413;JARDIM NOSSA SENHORA APARECIDA;02981050
1414;JARDIM NOSSA SENHORA APARECIDA;02981070
1415;JARDIM NOSSA SENHORA APARECIDA;02981060
1416;JARDIM NOSSA SENHORA APARECIDA;02981110
1417;JARDIM NOSSA SENHORA APARECIDA;02981085
1419;JARDIM NOSSA SENHORA APARECIDA;02982180
1420;JARDIM NOSSA SENHORA APARECIDA;02981085
1421;JARDIM NOSSA SENHORA APARECIDA;02981087
1422;JARDIM NOSSA SENHORA APARECIDA;02981085
1423;VILA ITABERABA;02878100
1424;JARDIM PAULISTANO;02814075
1425;COHAB BRASILANDIA;02820080
1426;JARDIM CARUMBE;02837185
1427;VILA SOUZA;02860001
1429;JARDIM DAMASCENO;02879-000
1430;JARDIM DAMASCENO;02879-010
1431;JARDIM DAMASCENO;02879-020
1432;JARDIM DAMASCENO;02879-030
1433;JARDIM DAMASCENO;02879-040
1434;JARDIM DAMASCENO;02879-050
1435;JARDIM DAMASCENO;02879-060
1436;JARDIM DAMASCENO;02879-070
1437;JARDIM DAMASCENO;02879-080
1438;JARDIM DAMASCENO;02879-090
1439;JARDIM DAMASCENO;02879-100
1440;JARDIM DAMASCENO;02879-110
1441;JARDIM DAMASCENO;02879-120
1442;JARDIM DAMASCENO;02879-130
1443;JARDIM DAMASCENO;02879-140
1444;JARDIM DAMASCENO;02879-150
1445;JARDIM DAMASCENO;02879-160
1446;JARDIM DAMASCENO;02879-170
1447;JARDIM DAMASCENO;02879-180
1448;JARDIM DAMASCENO;02879-190
